GENE_a	GENE_b	ID_a	ID_b	AC_a	AC_b	pubmedID	resource
PRKAA1	HSP90AA1	AAPK1_HUMAN	HS90A_HUMAN	Q13131	P07900	23455922;16306228	IntAct;APID
PRKAA1	HSP90AB1	AAPK1_HUMAN	HS90B_HUMAN	Q13131	P08238	23455922;22939624	IntAct
PRKAA1	ICK	AAPK1_HUMAN	ICK_HUMAN	Q13131	Q9UPZ9	20482850	Reactome_Fls
PRKAA1	EIF5B	AAPK1_HUMAN	IF2P_HUMAN	Q13131	O60841	20562859	IntAct
PRKAA1	CAMKK1	AAPK1_HUMAN	KKCC1_HUMAN	Q13131	Q8N5S9	20482850	Reactome_Fls
PRKAA1	CAMKK2	AAPK1_HUMAN	KKCC2_HUMAN	Q13131	Q96RR4	20482850;18508856	Reactome_Fls;Interoporc
PRKAA1	RPS6KB1	AAPK1_HUMAN	KS6B1_HUMAN	Q13131	P23443	18508856	Interoporc
PRKAA1	MAPK7	AAPK1_HUMAN	MK07_HUMAN	Q13131	Q13164	20482850	Reactome_Fls
PRKAA1	MLXIPL	AAPK1_HUMAN	MLXPL_HUMAN	Q13131	Q9NP71	20482850;17367534	Reactome_Fls;Reactome
PRKAA1	MORC4	AAPK1_HUMAN	MORC4_HUMAN	Q13131	Q8TE76	21988832	IntAct
PRKAA1	MTOR	AAPK1_HUMAN	MTOR_HUMAN	Q13131	P42345	14970221	APID
PRKAA1	NUAK1	AAPK1_HUMAN	NUAK1_HUMAN	Q13131	O60285	16306228	APID
PRKAA1	PA2G4	AAPK1_HUMAN	PA2G4_HUMAN	Q13131	Q9UQ80	20562859	IntAct
PRKAA1	PARP1	AAPK1_HUMAN	PARP1_HUMAN	Q13131	P09874	20562859	IntAct
PRKAA1	PCK2	AAPK1_HUMAN	PCKGM_HUMAN	Q13131	Q16822	20482850	Reactome_Fls
PRKAA1	PLEKHA4	AAPK1_HUMAN	PKHA4_HUMAN	Q13131	Q9H4M7	21988832	IntAct
PRKAA1	POLH	AAPK1_HUMAN	POLH_HUMAN	Q13131	Q9Y253	18508856	Interoporc
PRKAA1	PPP1CB	AAPK1_HUMAN	PP1B_HUMAN	Q13131	P62140	18508856	Interoporc
PRKAA1	PPP1R7	AAPK1_HUMAN	PP1R7_HUMAN	Q13131	Q15435	18508856	Interoporc
PRKAA1	PPM1A	AAPK1_HUMAN	PPM1A_HUMAN	Q13131	P35813	17367534	Reactome
PRKAA1	PPM1F	AAPK1_HUMAN	PPM1F_HUMAN	Q13131	P49593	20801214	MINT
PRKAA1	RAF1	AAPK1_HUMAN	RAF1_HUMAN	Q13131	P04049	11971957	iRefIndex
PRKAA1	RHEB	AAPK1_HUMAN	RHEB_HUMAN	Q13131	Q15382	17367534	Reactome
PRKAA1	RPTOR	AAPK1_HUMAN	RPTOR_HUMAN	Q13131	Q8N122	17367534	Reactome
PRKAA1	SND1	AAPK1_HUMAN	SND1_HUMAN	Q13131	Q7KZF4	20562859	IntAct
PRKAA1	SUPT16H	AAPK1_HUMAN	SP16H_HUMAN	Q13131	Q9Y5B9	20562859	IntAct
PRKAA1	STK11	AAPK1_HUMAN	STK11_HUMAN	Q13131	Q15831	20482850;17367534	Reactome_Fls;Reactome
PRKAA1	STRADA	AAPK1_HUMAN	STRAA_HUMAN	Q13131	Q7RTN6	20482850;17367534	Reactome_Fls;Reactome
PRKAA1	STRADB	AAPK1_HUMAN	STRAB_HUMAN	Q13131	Q9C0K7	20482850;17367534	Reactome_Fls;Reactome
PRKAA1	TSC1	AAPK1_HUMAN	TSC1_HUMAN	Q13131	Q92574	17367534	Reactome
PRKAA1	TSC2	AAPK1_HUMAN	TSC2_HUMAN	Q13131	P49815	20482850;17367534	Reactome_Fls;Reactome
PRKAA1	WRNIP1	AAPK1_HUMAN	WRIP1_HUMAN	Q13131	Q96S55	18508856	Interoporc
PRKAA2	PRKAA1	AAPK2_HUMAN	AAPK1_HUMAN	P54646	Q13131	20801214;20562859;20482850	Reactome_Fls;MINT;IntAct
ACACB	PRKAA1	ACACB_HUMAN	AAPK1_HUMAN	O00763	Q13131	20482850	Reactome_Fls
AGRP	PRKAA1	AGRP_HUMAN	AAPK1_HUMAN	O00253	Q13131	20482850	Reactome_Fls
CPE	PRKAA1	CBPE_HUMAN	AAPK1_HUMAN	P16870	Q13131	20368287	iRefIndex;DIP
CFTR	PRKAA1	CFTR_HUMAN	AAPK1_HUMAN	P13569	Q13131	15657099	iRefIndex
CSNK2A1	PRKAA1	CSK21_HUMAN	AAPK1_HUMAN	P68400	Q13131	20482850	Reactome_Fls
DDA1	PRKAA1	DDA1_HUMAN	AAPK1_HUMAN	Q9BW61	Q13131	20562859	IntAct
PFKFB2	PRKAA1	F262_HUMAN	AAPK1_HUMAN	O60825	Q13131	12853467	APID
FNIP1	PRKAA1	FNIP1_HUMAN	AAPK1_HUMAN	Q8TF40	Q13131	17028174	APID
G6PC	PRKAA1	G6PC_HUMAN	AAPK1_HUMAN	P35575	Q13131	20482850	Reactome_Fls
GATA1	PRKAA1	GATA1_HUMAN	AAPK1_HUMAN	P15976	Q13131	21988832	IntAct
GABARAP	PRKAA1	GBRAP_HUMAN	AAPK1_HUMAN	O95166	Q13131	20562859	IntAct
GRIK2	PRKAA1	GRIK2_HUMAN	AAPK1_HUMAN	Q13002	Q13131	8094892	APID
LEPR	PRKAA1	LEPR_HUMAN	AAPK1_HUMAN	P48357	Q13131	20482850	Reactome_Fls
LEP	PRKAA1	LEP_HUMAN	AAPK1_HUMAN	P41159	Q13131	20482850	Reactome_Fls
MTOR	PRKAA1	MTOR_HUMAN	AAPK1_HUMAN	P42345	Q13131	20482850	Reactome_Fls
NME1	PRKAA1	NDKA_HUMAN	AAPK1_HUMAN	P15531	Q13131	16026327	iRefIndex
NPY	PRKAA1	NPY_HUMAN	AAPK1_HUMAN	P01303	Q13131	20482850	Reactome_Fls
NUAK1	PRKAA1	NUAK1_HUMAN	AAPK1_HUMAN	O60285	Q13131	20482850	Reactome_Fls
PCK1	PRKAA1	PCKGC_HUMAN	AAPK1_HUMAN	P35558	Q13131	20482850	Reactome_Fls
RAF1	PRKAA1	RAF1_HUMAN	AAPK1_HUMAN	P04049	Q13131	20482850;11971957	Reactome_Fls;APID
STAT3	PRKAA1	STAT3_HUMAN	AAPK1_HUMAN	P40763	Q13131	20482850	Reactome_Fls
TOMM34	PRKAA1	TOM34_HUMAN	AAPK1_HUMAN	Q15785	Q13131	11913976	iRefIndex
ULK1	PRKAA1	ULK1_HUMAN	AAPK1_HUMAN	O75385	Q13131	20562859	IntAct
ULK2	PRKAA1	ULK2_HUMAN	AAPK1_HUMAN	Q8IYT8	Q13131	20562859	IntAct
PRKAB1	PRKAA2	AAKB1_HUMAN	AAPK2_HUMAN	Q9Y478	P54646	9224708;20562859	iRefIndex;IntAct
PRKAG1	PRKAA2	AAKG1_HUMAN	AAPK2_HUMAN	P54619	P54646	9224708;20562859;20482850	Reactome_Fls;iRefIndex;IntAct
PRKAA1	PRKAA2	AAPK1_HUMAN	AAPK2_HUMAN	Q13131	P54646	20801214;17367534	Reactome;MINT
PRKAA2	PRKAB1	AAPK2_HUMAN	AAKB1_HUMAN	P54646	Q9Y478	9224708;20482850;18508856;17367534	Reactome_Fls;Reactome;Interoporc;APID
PRKAA2	LOC101060511	AAPK2_HUMAN	AAKB2_HUMAN	P54646	O43741	20562859;17367534	Reactome;iRefIndex;IntAct
PRKAA2	PRKAB2	AAPK2_HUMAN	AAKB2_HUMAN	P54646	O43741	20562859;17367534	Reactome;iRefIndex;IntAct
PRKAA2	PRKAG1	AAPK2_HUMAN	AAKG1_HUMAN	P54646	P54619	9224708;20562859;17367534	Reactome;IntAct;APID
PRKAA2	PRKAG2	AAPK2_HUMAN	AAKG2_HUMAN	P54646	Q9UGJ0	20562859;20482850;17367534;15657099	Reactome_Fls;Reactome;iRefIndex;IntAct
PRKAA2	PRKAG3	AAPK2_HUMAN	AAKG3_HUMAN	P54646	Q9UGI9	20482850;17367534	Reactome_Fls;Reactome
PRKAA2	PRKAA1	AAPK2_HUMAN	AAPK1_HUMAN	P54646	Q13131	20801214;20562859;20482850	Reactome_Fls;MINT;IntAct
PRKAA2	PRKAA2	AAPK2_HUMAN	AAPK2_HUMAN	P54646	P54646	20562859	IntAct
PRKAA2	ACACA	AAPK2_HUMAN	ACACA_HUMAN	P54646	Q13085	20482850	Reactome_Fls
PRKAA2	AMOT	AAPK2_HUMAN	AMOT_HUMAN	P54646	Q4VCS5	20562859	iRefIndex;IntAct
PRKAA2	BAIAP2L1	AAPK2_HUMAN	BI2L1_HUMAN	P54646	Q9UHR4	20562859	iRefIndex;IntAct
PRKAA2	ARFGEF1	AAPK2_HUMAN	BIG1_HUMAN	P54646	Q9Y6D6	15657099	iRefIndex
PRKAA2	BTF3L4	AAPK2_HUMAN	BT3L4_HUMAN	P54646	Q96K17	18508856;15657099	iRefIndex;Interoporc
PRKAA2	CEP170B	AAPK2_HUMAN	C170B_HUMAN	P54646	Q9Y4F5	20562859	IntAct
PRKAA2	CAB39	AAPK2_HUMAN	CAB39_HUMAN	P54646	Q9Y376	20482850;17367534	Reactome_Fls;Reactome
PRKAA2	CAB39L	AAPK2_HUMAN	CB39L_HUMAN	P54646	Q9H9S4	20482850;17367534	Reactome_Fls;Reactome
PRKAA2	CSNK2A1	AAPK2_HUMAN	CSK21_HUMAN	P54646	P68400	20482850	Reactome_Fls
PRKAA2	DFFA	AAPK2_HUMAN	DFFA_HUMAN	P54646	O00273	20562859	iRefIndex;IntAct
PRKAA2	DNAJB1	AAPK2_HUMAN	DNJB1_HUMAN	P54646	P25685	20562859	iRefIndex
PRKAA2	EEF2K	AAPK2_HUMAN	EF2K_HUMAN	P54646	O00418	11500364	iRefIndex
PRKAA2	LOC101060570	AAPK2_HUMAN	EF2K_HUMAN	P54646	O00418	11500364	iRefIndex
PRKAA2	PFKFB2	AAPK2_HUMAN	F262_HUMAN	P54646	O60825	12853467	iRefIndex
PRKAA2	FLCN	AAPK2_HUMAN	FLCN_HUMAN	P54646	Q8NFG4	20562859	iRefIndex;IntAct
PRKAA2	FNIP1	AAPK2_HUMAN	FNIP1_HUMAN	P54646	Q8TF40	20562859	IntAct
PRKAA2	G6PC2	AAPK2_HUMAN	G6PC2_HUMAN	P54646	Q9NQR9	20482850	Reactome_Fls
PRKAA2	AGL	AAPK2_HUMAN	GDE_HUMAN	P54646	P35573	20562859	iRefIndex;IntAct
PRKAA2	GFPT1	AAPK2_HUMAN	GFPT1_HUMAN	P54646	Q06210	20562859	IntAct
PRKAA2	GYG1	AAPK2_HUMAN	GLYG_HUMAN	P54646	P46976	20562859	iRefIndex;IntAct
PRKAA2	GYS1	AAPK2_HUMAN	GYS1_HUMAN	P54646	P13807	20562859	iRefIndex;IntAct
PRKAA2	HSP90AB1	AAPK2_HUMAN	HS90B_HUMAN	P54646	P08238	22939624	IntAct
PRKAA2	ICK	AAPK2_HUMAN	ICK_HUMAN	P54646	Q9UPZ9	20482850	Reactome_Fls
PRKAA2	CAMKK1	AAPK2_HUMAN	KKCC1_HUMAN	P54646	Q8N5S9	20482850;15657099	Reactome_Fls;iRefIndex
PRKAA2	CAMKK2	AAPK2_HUMAN	KKCC2_HUMAN	P54646	Q96RR4	20482850	Reactome_Fls
PRKAA2	LATS2	AAPK2_HUMAN	LATS2_HUMAN	P54646	Q9NRM7	20482850	Reactome_Fls
PRKAA2	MAP3K5	AAPK2_HUMAN	M3K5_HUMAN	P54646	Q99683	20562859	iRefIndex;IntAct
PRKAA2	MAP3K6	AAPK2_HUMAN	M3K6_HUMAN	P54646	O95382	20562859	iRefIndex;IntAct
PRKAA2	MAST3	AAPK2_HUMAN	MAST3_HUMAN	P54646	O60307	20562859	iRefIndex;IntAct
PRKAA2	MAPK7	AAPK2_HUMAN	MK07_HUMAN	P54646	Q13164	20482850	Reactome_Fls
PRKAA2	MAPK11	AAPK2_HUMAN	MK11_HUMAN	P54646	Q15759	20482850	Reactome_Fls
PRKAA2	MAPK14	AAPK2_HUMAN	MK14_HUMAN	P54646	Q16539	20482850;15657099	Reactome_Fls;iRefIndex
PRKAA2	MLF2	AAPK2_HUMAN	MLF2_HUMAN	P54646	Q15773	20562859	iRefIndex;IntAct
PRKAA2	MLXIPL	AAPK2_HUMAN	MLXPL_HUMAN	P54646	Q9NP71	20482850;17367534	Reactome_Fls;Reactome
PRKAA2	NACA	AAPK2_HUMAN	NACA_HUMAN	P54646	Q13765	18508856	Interoporc
PRKAA2	NR4A2	AAPK2_HUMAN	NR4A2_HUMAN	P54646	P43354	18508856	Interoporc
PRKAA2	PCK2	AAPK2_HUMAN	PCKGM_HUMAN	P54646	Q16822	20482850	Reactome_Fls
PRKAA2	PCSK9	AAPK2_HUMAN	PCSK9_HUMAN	P54646	Q8NBP7	15657099	iRefIndex
PRKAA2	PIK3CG	AAPK2_HUMAN	PK3CG_HUMAN	P54646	P48736	20562859	iRefIndex;IntAct
PRKAA2	PLK2	AAPK2_HUMAN	PLK2_HUMAN	P54646	Q9NYY3	20482850	Reactome_Fls
PRKAA2	PLK3	AAPK2_HUMAN	PLK3_HUMAN	P54646	Q9H4B4	20482850	Reactome_Fls
PRKAA2	PPM1A	AAPK2_HUMAN	PPM1A_HUMAN	P54646	P35813	17367534	Reactome
PRKAA2	PPM1F	AAPK2_HUMAN	PPM1F_HUMAN	P54646	P49593	20801214	MINT
PRKAA2	RB1CC1	AAPK2_HUMAN	RBCC1_HUMAN	P54646	Q8TDY2	20562859	iRefIndex;IntAct
PRKAA2	RHEB	AAPK2_HUMAN	RHEB_HUMAN	P54646	Q15382	17367534	Reactome
PRKAA2	RPTOR	AAPK2_HUMAN	RPTOR_HUMAN	P54646	Q8N122	17367534	Reactome
PRKAA2	SGK2	AAPK2_HUMAN	SGK2_HUMAN	P54646	Q9HBY8	20482850	Reactome_Fls
PRKAA2	C8orf44-SGK3	AAPK2_HUMAN	SGK3_HUMAN	P54646	Q96BR1	20482850	Reactome_Fls
PRKAA2	SGK3	AAPK2_HUMAN	SGK3_HUMAN	P54646	Q96BR1	20482850	Reactome_Fls
PRKAA2	SMC1A	AAPK2_HUMAN	SMC1A_HUMAN	P54646	Q14683	20562859	iRefIndex;IntAct
PRKAA2	SH3PXD2A	AAPK2_HUMAN	SPD2A_HUMAN	P54646	Q5TCZ1	20562859	IntAct
PRKAA2	STK38L	AAPK2_HUMAN	ST38L_HUMAN	P54646	Q9Y2H1	20482850	Reactome_Fls
PRKAA2	STIM1	AAPK2_HUMAN	STIM1_HUMAN	P54646	Q13586	20562859	iRefIndex;IntAct
PRKAA2	STIM2	AAPK2_HUMAN	STIM2_HUMAN	P54646	Q9P246	20562859	IntAct
PRKAA2	STK11	AAPK2_HUMAN	STK11_HUMAN	P54646	Q15831	20482850;17367534;15657099	Reactome_Fls;Reactome;iRefIndex
PRKAA2	STK38	AAPK2_HUMAN	STK38_HUMAN	P54646	Q15208	20482850	Reactome_Fls
PRKAA2	STRADA	AAPK2_HUMAN	STRAA_HUMAN	P54646	Q7RTN6	20482850;17367534	Reactome_Fls;Reactome
PRKAA2	STRADB	AAPK2_HUMAN	STRAB_HUMAN	P54646	Q9C0K7	20482850;17367534	Reactome_Fls;Reactome
PRKAA2	PARS2	AAPK2_HUMAN	SYPM_HUMAN	P54646	Q7L3T8	20562859	iRefIndex;IntAct
PRKAA2	TRIP6	AAPK2_HUMAN	TRIP6_HUMAN	P54646	Q15654	16624523	iRefIndex
PRKAA2	TSC1	AAPK2_HUMAN	TSC1_HUMAN	P54646	Q92574	17367534	Reactome
PRKAA2	TSC2	AAPK2_HUMAN	TSC2_HUMAN	P54646	P49815	20482850;17367534	Reactome_Fls;Reactome
PRKAA2	ULK1	AAPK2_HUMAN	ULK1_HUMAN	P54646	O75385	20562859	IntAct
PRKAA2	WRNIP1	AAPK2_HUMAN	WRIP1_HUMAN	P54646	Q96S55	15657099	iRefIndex
ACACB	PRKAA2	ACACB_HUMAN	AAPK2_HUMAN	O00763	P54646	9148944;20482850	Reactome_Fls;APID
AGRP	PRKAA2	AGRP_HUMAN	AAPK2_HUMAN	O00253	P54646	20482850	Reactome_Fls
ARPC2	PRKAA2	ARPC2_HUMAN	AAPK2_HUMAN	O15144	P54646	15657099	iRefIndex
CDK8	PRKAA2	CDK8_HUMAN	AAPK2_HUMAN	P49336	P54646	15657099	iRefIndex
CSNK2A2	PRKAA2	CSK22_HUMAN	AAPK2_HUMAN	P19784	P54646	20482850	Reactome_Fls
PET112	PRKAA2	GATB_HUMAN	AAPK2_HUMAN	O75879	P54646	15657099	iRefIndex
IDH3A	PRKAA2	IDH3A_HUMAN	AAPK2_HUMAN	P50213	P54646	15657099	iRefIndex
CAMKK2	PRKAA2	KKCC2_HUMAN	AAPK2_HUMAN	Q96RR4	P54646	20562859	iRefIndex;IntAct
LATS1	PRKAA2	LATS1_HUMAN	AAPK2_HUMAN	O95835	P54646	20482850	Reactome_Fls
LEPR	PRKAA2	LEPR_HUMAN	AAPK2_HUMAN	P48357	P54646	20482850	Reactome_Fls
LEP	PRKAA2	LEP_HUMAN	AAPK2_HUMAN	P41159	P54646	20482850;11797013	Reactome_Fls;APID
MAK	PRKAA2	MAK_HUMAN	AAPK2_HUMAN	P20794	P54646	20482850	Reactome_Fls
MAPK1	PRKAA2	MK01_HUMAN	AAPK2_HUMAN	P28482	P54646	20482850	Reactome_Fls
MAPK3	PRKAA2	MK03_HUMAN	AAPK2_HUMAN	P27361	P54646	20482850	Reactome_Fls
MAPK13	PRKAA2	MK13_HUMAN	AAPK2_HUMAN	O15264	P54646	20482850	Reactome_Fls
MTOR	PRKAA2	MTOR_HUMAN	AAPK2_HUMAN	P42345	P54646	20482850	Reactome_Fls
NPY	PRKAA2	NPY_HUMAN	AAPK2_HUMAN	P01303	P54646	20482850	Reactome_Fls
PLK1	PRKAA2	PLK1_HUMAN	AAPK2_HUMAN	P53350	P54646	20482850	Reactome_Fls
PMM2	PRKAA2	PMM2_HUMAN	AAPK2_HUMAN	O15305	P54646	15657099	iRefIndex
PSMD7	PRKAA2	PSD7_HUMAN	AAPK2_HUMAN	P51665	P54646	15657099	iRefIndex
RAF1	PRKAA2	RAF1_HUMAN	AAPK2_HUMAN	P04049	P54646	20482850	Reactome_Fls
SGK1	PRKAA2	SGK1_HUMAN	AAPK2_HUMAN	O00141	P54646	20482850	Reactome_Fls
STAT3	PRKAA2	STAT3_HUMAN	AAPK2_HUMAN	P40763	P54646	20482850	Reactome_Fls
STK11	PRKAA2	STK11_HUMAN	AAPK2_HUMAN	Q15831	P54646	14985505;10642499	iRefIndex;APID
TCP1	PRKAA2	TCPA_HUMAN	AAPK2_HUMAN	P17987	P54646	15657099	iRefIndex
ULK2	PRKAA2	ULK2_HUMAN	AAPK2_HUMAN	Q8IYT8	P54646	20562859	IntAct
YWHAZ	ABL1	1433Z_HUMAN	ABL1_HUMAN	P63104	P00519	15696159	MINT;APID
SH3BP1	ABL1	3BP1_HUMAN	ABL1_HUMAN	Q9Y3L3	P00519	1379745	APID
SH3BP2	ABL1	3BP2_HUMAN	ABL1_HUMAN	P78314	P00519	18508856	Interoporc
APP	ABL1	A4_HUMAN	ABL1_HUMAN	P05067	P00519	11279131	APID
ABI1	ABL1	ABI1_HUMAN	ABL1_HUMAN	Q8IZP0	P00519	20598684;18328268;17101133	MINT;iRefIndex
ABI2	ABL1	ABI2_HUMAN	ABL1_HUMAN	Q9NYB9	P00519	17101133	MINT;iRefIndex
ABL1	YWHAB	ABL1_HUMAN	1433B_HUMAN	P00519	P31946	15696159	IntAct;APID
ABL1	YWHAE	ABL1_HUMAN	1433E_HUMAN	P00519	P62258	15696159	IntAct;APID
ABL1	YWHAH	ABL1_HUMAN	1433F_HUMAN	P00519	Q04917	15696159	iRefIndex;IntAct;APID
ABL1	YWHAG	ABL1_HUMAN	1433G_HUMAN	P00519	P61981	15696159	IntAct;APID
ABL1	SFN	ABL1_HUMAN	1433S_HUMAN	P00519	P31947	20482850;15696159	Reactome_Fls;iRefIndex;IntAct;APID
ABL1	YWHAZ	ABL1_HUMAN	1433Z_HUMAN	P00519	P63104	20482850;15696159	Reactome_Fls;IntAct
ABL1	SH3BP1	ABL1_HUMAN	3BP1_HUMAN	P00519	Q9Y3L3	17352427;15657099	MINT;iRefIndex
ABL1	SH3BP2	ABL1_HUMAN	3BP2_HUMAN	P00519	P78314	8438166;20482850	Reactome_Fls;APID
ABL1	APP	ABL1_HUMAN	A4_HUMAN	P00519	P05067	20482850;11279131	Reactome_Fls;MINT;iRefIndex
ABL1	ABI1	ABL1_HUMAN	ABI1_HUMAN	P00519	Q8IZP0	9593709;9010225;8943360;20482850;18328268;17101133;12672821;11418237	UniProt;Reactome_Fls;MINT;iRefIndex;IntAct;APID
ABL1	ABI2	ABL1_HUMAN	ABI2_HUMAN	P00519	Q9NYB9	7590236;20482850;17101133;15657099;12569093	Reactome_Fls;MINT;iRefIndex;APID
ABL1	ABL1	ABL1_HUMAN	ABL1_HUMAN	P00519	P00519	8438166;1383690;12654250	APID
ABL1	ABL2	ABL1_HUMAN	ABL2_HUMAN	P00519	P42684	20482850;15735735;15657099;1383690;12569093	Reactome_Fls;iRefIndex;APID
ABL1	ABR	ABL1_HUMAN	ABR_HUMAN	P00519	Q12979	17474147	IntAct;APID
ABL1	ACAP1	ABL1_HUMAN	ACAP1_HUMAN	P00519	Q15027	20482850;17474147	Reactome_Fls;IntAct;DIP;APID
ABL1	ADAM15	ABL1_HUMAN	ADA15_HUMAN	P00519	Q13444	20482850;11741929	Reactome_Fls;MINT;iRefIndex;APID
ABL1	AIRE	ABL1_HUMAN	AIRE_HUMAN	P00519	O43918	17474147	IntAct
ABL1	AKAP6	ABL1_HUMAN	AKAP6_HUMAN	P00519	Q13023	17474147	IntAct;APID
ABL1	APBB1	ABL1_HUMAN	APBB1_HUMAN	P00519	O00213	11279131	APID
ABL1	APOL5	ABL1_HUMAN	APOL5_HUMAN	P00519	Q9BWW9	17474147	IntAct;APID
ABL1	ARHGEF11	ABL1_HUMAN	ARHGB_HUMAN	P00519	O15085	17474147	IntAct;DIP
ABL1	ASAP1	ABL1_HUMAN	ASAP1_HUMAN	P00519	Q9ULH1	20482850;17474147	Reactome_Fls;IntAct;DIP
ABL1	ASB16	ABL1_HUMAN	ASB16_HUMAN	P00519	Q96NS5	20482850;17474147	Reactome_Fls;IntAct;DIP
ABL1	ATM	ABL1_HUMAN	ATM_HUMAN	P00519	Q13315	9168117;20482850;15657099;11375976;10212258	Reactome_Fls;iRefIndex;DIP;APID
