ID,Group,Family,Subfamily,Kinase,Gene_Symbol
ACM1_444_456,CMGC,DYRK,DYRK2,DYRK4,DYRK4
ACM1_444_456,CMGC,DYRK,HIPK,HIPK3,HIPK3
ACM1_444_456,CMGC,DYRK,HIPK,HIPK2,HIPK2
ACM1_444_456,CMGC,DYRK,HIPK,HIPK4,HIPK4
ACM1_444_456,CMGC,DYRK,HIPK,HIPK1,HIPK1
ACM1_444_456,CMGC,DYRK,PRP4,PRP4,PRPF4B
ACM1_444_456,CMGC,GSK,NA,GSK3A,GSK3A
ACM1_444_456,CMGC,GSK,NA,GSK3B,GSK3B
ACM1_444_456,TKL,IRAK,NA,IRAK1,IRAK1
ACM1_444_456,TKL,IRAK,NA,IRAK2,IRAK2
ACM1_444_456,TKL,IRAK,NA,IRAK3,IRAK3
ACM1_444_456,TKL,IRAK,NA,IRAK4,IRAK4
ACM1_444_456,CAMK,MLCK,NA,SMMLCK,MYLK
ACM1_444_456,CAMK,MLCK,NA,TTN,TTN
ACM1_444_456,CAMK,MLCK,NA,SKMLCK,MYLK2
ACM1_444_456,CAMK,MLCK,NA,CAMLCK,MLCK
ACM1_444_456,CAMK,MLCK,NA,SGK085,RP11-145H9.1
ACM1_444_456,AGC,PDK1,NA,PDK1,PDPK1
ACM1_444_456,OTHER,PEK,GCN2,GCN2,EIF2AK4
ACM1_444_456,OTHER,PEK,HRI,HRI,EIF2AK1
ACM1_444_456,OTHER,PEK,PEK,PEK,EIF2AK3
ACM1_444_456,OTHER,PEK,PKR,PKR,EIF2AK2
ACM1_444_456,CAMK,PHK,NA,PHKG1,PHKG1
ACM1_444_456,CAMK,PHK,NA,PHKG2,PHKG2
ACM1_444_456,CAMK,PIM,NA,PIM1,PIM1
ACM1_444_456,CAMK,PIM,NA,PIM2,PIM2
ACM1_444_456,CAMK,PIM,NA,PIM3,PIM3
ACM1_444_456,AGC,RSK,MSK,MSK2,RPS6KA4
ACM1_444_456,AGC,RSK,MSK,MSK1,RPS6KA5
ACM1_444_456,AGC,RSK,P70,P70S6K,RPS6KB1
ACM1_444_456,AGC,RSK,P70,P70S6KB,RPS6KB2
ACM1_444_456,AGC,RSK,RSK,RSK3,RPS6KA1
ACM1_444_456,AGC,RSK,RSK,RSK1,RPS6KA2
ACM1_444_456,AGC,RSK,RSK,RSK2,RPS6KA3
ACM1_444_456,AGC,RSK,RSK,RSK4,RPS6KA6
ACM4_456_468,ATYPICAL,PDHK,BCKDK,BCKDK,BCKDK
ACM4_456_468,ATYPICAL,PDHK,PDHK,PDHK1,PDK1
ACM4_456_468,ATYPICAL,PDHK,PDHK,PDHK2,PDK2
ACM4_456_468,ATYPICAL,PDHK,PDHK,PDHK3,PDK3
ACM4_456_468,ATYPICAL,PDHK,PDHK,PDHK4,PDK4
ACM4_456_468,AGC,PDK1,NA,PDK1,PDPK1
ACM4_456_468,CAMK,PIM,NA,PIM1,PIM1
ACM4_456_468,CAMK,PIM,NA,PIM2,PIM2
ACM4_456_468,CAMK,PIM,NA,PIM3,PIM3
ACM5_494_506,ATYPICAL,PDHK,BCKDK,BCKDK,BCKDK
ACM5_494_506,ATYPICAL,PDHK,PDHK,PDHK1,PDK1
ACM5_494_506,ATYPICAL,PDHK,PDHK,PDHK2,PDK2
ACM5_494_506,ATYPICAL,PDHK,PDHK,PDHK3,PDK3
ACM5_494_506,ATYPICAL,PDHK,PDHK,PDHK4,PDK4
ACM5_494_506,AGC,PDK1,NA,PDK1,PDPK1
ACM5_494_506,OTHER,PEK,GCN2,GCN2,EIF2AK4
ACM5_494_506,OTHER,PEK,HRI,HRI,EIF2AK1
ACM5_494_506,OTHER,PEK,PEK,PEK,EIF2AK3
ACM5_494_506,OTHER,PEK,PKR,PKR,EIF2AK2
ACM5_494_506,OTHER,WNK,NA,WNK1,WNK1
ACM5_494_506,OTHER,WNK,NA,WNK4,WNK4
ACM5_494_506,OTHER,WNK,NA,WNK3,WNK3
ACM5_494_506,OTHER,WNK,NA,WNK2,WNK2
ACM5_498_510,TKL,MLK,HH498,HH498,TNNI3K
ACM5_498_510,TKL,MLK,ILK,ILK,ILK
ACM5_498_510,TKL,MLK,LZK,DLK,MAP3K12
ACM5_498_510,TKL,MLK,LZK,LZK,MAP3K13
ACM5_498_510,TKL,MLK,MLK,MLK1,MAP3K9
ACM5_498_510,TKL,MLK,MLK,MLK2,MAP3K10
ACM5_498_510,TKL,MLK,MLK,MLK3,MAP3K11
ACM5_498_510,TKL,MLK,MLK,MLK4,KIAA1804
ACM5_498_510,TKL,MLK,TAK1,TAK1,MAP3K7
ACM5_498_510,TKL,MLK,ZAK,ZAK,ZAK
ACM5_498_510,ATYPICAL,PDHK,BCKDK,BCKDK,BCKDK
ACM5_498_510,ATYPICAL,PDHK,PDHK,PDHK1,PDK1
ACM5_498_510,ATYPICAL,PDHK,PDHK,PDHK2,PDK2
ACM5_498_510,ATYPICAL,PDHK,PDHK,PDHK3,PDK3
ACM5_498_510,ATYPICAL,PDHK,PDHK,PDHK4,PDK4
ACM5_498_510,AGC,PDK1,NA,PDK1,PDPK1
ACM5_498_510,OTHER,PEK,GCN2,GCN2,EIF2AK4
ACM5_498_510,OTHER,PEK,HRI,HRI,EIF2AK1
ACM5_498_510,OTHER,PEK,PEK,PEK,EIF2AK3
ACM5_498_510,OTHER,PEK,PKR,PKR,EIF2AK2
ADDB_696_708,CMGC,CDK,CCRK,CCRK,CCRK
ADDB_696_708,CMGC,CDK,CDC2,CDC2,CDC2
ADDB_696_708,CMGC,CDK,CDC2,CDK2,CDK2
ADDB_696_708,CMGC,CDK,CDC2,CDK3,CDK3
ADDB_696_708,CMGC,CDK,CDK10,CDK10,CDK10
ADDB_696_708,CMGC,CDK,CDK4,CDK4,CDK4
ADDB_696_708,CMGC,CDK,CDK4,CDK6,CDK6
ADDB_696_708,CMGC,CDK,CDK5,CDK5,CDK5
ADDB_696_708,CMGC,CDK,CDK7,CDK7,CDK7
ADDB_696_708,CMGC,CDK,CDK8,CDK8,CDK8
ADDB_696_708,CMGC,CDK,CDK8,CDK11,CDC2L6
ADDB_696_708,CMGC,CDK,CDK9,CDK9,CDK9
ADDB_696_708,CMGC,CDK,CRK7,CHED,CDC2L5
ADDB_696_708,CMGC,CDK,CRK7,CRK7,CRKRS
ADDB_696_708,CMGC,CDK,PCTAIRE,PCTAIRE1,PCTK1
ADDB_696_708,CMGC,CDK,PCTAIRE,PCTAIRE2,PCTK2
ADDB_696_708,CMGC,CDK,PCTAIRE,PCTAIRE3,PCTK3
ADDB_696_708,CMGC,CDK,PFTAIRE,PFTAIRE1,PFTK1
ADDB_696_708,CMGC,CDK,PFTAIRE,PFTAIRE2,ALS2CR7
ADDB_696_708,CMGC,CDK,PITSLRE,PITSLRE,CDC2L2
ADDB_696_708,CMGC,CDK,CDK11,CDK11B,CDK11B
ADDB_696_708,CK1,CK1,CK1-A,CK1A,CSNK1A1
ADDB_696_708,CK1,CK1,CK1-A,CK1A2,CSNK1A1L
ADDB_696_708,CK1,CK1,CK1-D,CK1D,CSNK1D
ADDB_696_708,CK1,CK1,CK1-D,CK1E,CSNK1E
ADDB_696_708,CK1,CK1,CK1-G,CK1G2,CSNK1G2
ADDB_696_708,CK1,CK1,CK1-G,CK1G3,CSNK1G3
ADDB_696_708,CK1,CK1,CK1-G,CK1G1,CSNK1G1
ADDB_696_708,AGC,DMPK,CRIK,CRIK,CIT
ADDB_696_708,AGC,DMPK,GEK,DMPK1,DMPK
ADDB_696_708,AGC,DMPK,GEK,MRCKA,CDC42BPA
ADDB_696_708,AGC,DMPK,GEK,MRCKB,CDC42BPB
ADDB_696_708,AGC,DMPK,GEK,DMPK2,CDC42BPG
ADDB_696_708,AGC,DMPK,ROCK,ROCK1,ROCK1
ADDB_696_708,AGC,DMPK,ROCK,ROCK2,ROCK2
ADDB_696_708,CMGC,DYRK,DYRK1,DYRK1A,DYRK1A
ADDB_696_708,CMGC,DYRK,DYRK1,DYRK1B,DYRK1B
ADDB_696_708,CMGC,DYRK,DYRK2,DYRK3,DYRK3
ADDB_696_708,CMGC,DYRK,DYRK2,DYRK2,DYRK2
ADDB_696_708,CMGC,DYRK,DYRK2,DYRK4,DYRK4
ADDB_696_708,CMGC,DYRK,HIPK,HIPK3,HIPK3
ADDB_696_708,CMGC,DYRK,HIPK,HIPK2,HIPK2
ADDB_696_708,CMGC,DYRK,HIPK,HIPK4,HIPK4
ADDB_696_708,CMGC,DYRK,HIPK,HIPK1,HIPK1
ADDB_696_708,CMGC,DYRK,PRP4,PRP4,PRPF4B
ADDB_696_708,CMGC,GSK,NA,GSK3A,GSK3A
ADDB_696_708,CMGC,GSK,NA,GSK3B,GSK3B
ADDB_696_708,OTHER,IKK,NA,IKKA,CHUK
ADDB_696_708,OTHER,IKK,NA,IKKB,IKBKB
ADDB_696_708,OTHER,IKK,NA,IKKE,IKBKE
ADDB_696_708,OTHER,IKK,NA,TBK1,TBK1
ADDB_696_708,OTHER,NEK,NEK1,NEK1,NEK1
ADDB_696_708,OTHER,NEK,NEK1,NEK3,NEK3
ADDB_696_708,OTHER,NEK,NEK1,NEK5,NEK5
ADDB_696_708,OTHER,NEK,NEK10,NEK10,NEK10
ADDB_696_708,OTHER,NEK,NEK11,NEK11,NEK11
ADDB_696_708,OTHER,NEK,NEK2,NEK2,NEK2
ADDB_696_708,OTHER,NEK,NEK4,NEK4,NEK4
ADDB_696_708,OTHER,NEK,NEK6,NEK6,NEK6
ADDB_696_708,OTHER,NEK,NEK6,NEK7,NEK7
ADDB_696_708,OTHER,NEK,NEK8,NEK9,NEK9
ADDB_696_708,OTHER,NEK,NEK8,NEK8,NEK8
ADDB_696_708,AGC,PDK1,NA,PDK1,PDPK1
ADDB_696_708,OTHER,PEK,GCN2,GCN2,EIF2AK4
ADDB_696_708,OTHER,PEK,HRI,HRI,EIF2AK1
ADDB_696_708,OTHER,PEK,PEK,PEK,EIF2AK3
ADDB_696_708,OTHER,PEK,PKR,PKR,EIF2AK2
ADDB_696_708,OTHER,PLK,PLK1,PLK1,PLK1
ADDB_696_708,OTHER,PLK,PLK2,PLK3,PLK3
ADDB_696_708,OTHER,PLK,PLK2,PLK2,PLK2
ADDB_696_708,OTHER,PLK,SAK,PLK4,PLK4
ADDB_696_708,TKL,RIPK,NA,RIPK1,RIPK1
ADDB_696_708,TKL,RIPK,NA,RIPK2,RIPK2
ADDB_696_708,TKL,RIPK,NA,RIPK3,RIPK3
ADDB_696_708,TKL,RIPK,NA,ANKRD3,RIPK4
ADDB_696_708,TKL,RIPK,NA,SGK288,ANKK1
ADDB_696_708,STE,STE7,MAP2K(MEK1),MAP2K1,MAP2K1
ADDB_696_708,STE,STE7,MAP2K(MEK1),MAP2K2,MAP2K2
ADDB_696_708,STE,STE7,MAP2K(MEK3),MAP2K3,MAP2K3
ADDB_696_708,STE,STE7,MAP2K(MEK3),MAP2K6,MAP2K6
ADDB_696_708,STE,STE7,MAP2K(MEK4),MAP2K4,MAP2K4
ADDB_696_708,STE,STE7,MAP2K(MEK5),MAP2K5,MAP2K5
ADDB_696_708,STE,STE7,MAP2K(MEK7),MAP2K7,MAP2K7
ADDB_706_718,CMGC,CDK,CCRK,CCRK,CCRK
ADDB_706_718,CMGC,CDK,CDC2,CDC2,CDC2
ADDB_706_718,CMGC,CDK,CDC2,CDK2,CDK2
ADDB_706_718,CMGC,CDK,CDC2,CDK3,CDK3
ADDB_706_718,CMGC,CDK,CDK10,CDK10,CDK10
ADDB_706_718,CMGC,CDK,CDK4,CDK4,CDK4
ADDB_706_718,CMGC,CDK,CDK4,CDK6,CDK6
ADDB_706_718,CMGC,CDK,CDK5,CDK5,CDK5
ADDB_706_718,CMGC,CDK,CDK7,CDK7,CDK7
ADDB_706_718,CMGC,CDK,CDK8,CDK8,CDK8
ADDB_706_718,CMGC,CDK,CDK8,CDK11,CDC2L6
ADDB_706_718,CMGC,CDK,CDK9,CDK9,CDK9
ADDB_706_718,CMGC,CDK,CRK7,CHED,CDC2L5
ADDB_706_718,CMGC,CDK,CRK7,CRK7,CRKRS
ADDB_706_718,CMGC,CDK,PCTAIRE,PCTAIRE1,PCTK1
ADDB_706_718,CMGC,CDK,PCTAIRE,PCTAIRE2,PCTK2
ADDB_706_718,CMGC,CDK,PCTAIRE,PCTAIRE3,PCTK3
ADDB_706_718,CMGC,CDK,PFTAIRE,PFTAIRE1,PFTK1
ADDB_706_718,CMGC,CDK,PFTAIRE,PFTAIRE2,ALS2CR7
ADDB_706_718,CMGC,CDK,PITSLRE,PITSLRE,CDC2L2
ADDB_706_718,CMGC,CDK,CDK11,CDK11B,CDK11B
ADDB_706_718,AGC,DMPK,CRIK,CRIK,CIT
ADDB_706_718,AGC,DMPK,GEK,DMPK1,DMPK
ADDB_706_718,AGC,DMPK,GEK,MRCKA,CDC42BPA
ADDB_706_718,AGC,DMPK,GEK,MRCKB,CDC42BPB
ADDB_706_718,AGC,DMPK,GEK,DMPK2,CDC42BPG
ADDB_706_718,AGC,DMPK,ROCK,ROCK1,ROCK1
ADDB_706_718,AGC,DMPK,ROCK,ROCK2,ROCK2
ADDB_706_718,CMGC,DYRK,DYRK1,DYRK1A,DYRK1A
ADDB_706_718,CMGC,DYRK,DYRK1,DYRK1B,DYRK1B
ADDB_706_718,CMGC,DYRK,DYRK2,DYRK3,DYRK3
ADDB_706_718,CMGC,DYRK,DYRK2,DYRK2,DYRK2
ADDB_706_718,CMGC,DYRK,DYRK2,DYRK4,DYRK4
ADDB_706_718,CMGC,DYRK,HIPK,HIPK3,HIPK3
ADDB_706_718,CMGC,DYRK,HIPK,HIPK2,HIPK2
ADDB_706_718,CMGC,DYRK,HIPK,HIPK4,HIPK4
ADDB_706_718,CMGC,DYRK,HIPK,HIPK1,HIPK1
ADDB_706_718,CMGC,DYRK,PRP4,PRP4,PRPF4B
ADDB_706_718,CAMK,MAPKAPK,MAPKAPK,MAPKAPK3,MAPKAPK3
ADDB_706_718,CAMK,MAPKAPK,MAPKAPK,MAPKAPK5,MAPKAPK5
ADDB_706_718,CAMK,MAPKAPK,MAPKAPK,MAPKAPK2,MAPKAPK2
ADDB_706_718,CAMK,MAPKAPK,MNK,MNK2,MKNK2
ADDB_706_718,CAMK,MAPKAPK,MNK,MNK1,MKNK1
ADDB_706_718,OTHER,NEK,NEK1,NEK1,NEK1
ADDB_706_718,OTHER,NEK,NEK1,NEK3,NEK3
ADDB_706_718,OTHER,NEK,NEK1,NEK5,NEK5
ADDB_706_718,OTHER,NEK,NEK10,NEK10,NEK10
ADDB_706_718,OTHER,NEK,NEK11,NEK11,NEK11
ADDB_706_718,OTHER,NEK,NEK2,NEK2,NEK2
ADDB_706_718,OTHER,NEK,NEK4,NEK4,NEK4
ADDB_706_718,OTHER,NEK,NEK6,NEK6,NEK6
ADDB_706_718,OTHER,NEK,NEK6,NEK7,NEK7
ADDB_706_718,OTHER,NEK,NEK8,NEK9,NEK9
ADDB_706_718,OTHER,NEK,NEK8,NEK8,NEK8
ADDB_706_718,ATYPICAL,PDHK,BCKDK,BCKDK,BCKDK
ADDB_706_718,ATYPICAL,PDHK,PDHK,PDHK1,PDK1
ADDB_706_718,ATYPICAL,PDHK,PDHK,PDHK2,PDK2
ADDB_706_718,ATYPICAL,PDHK,PDHK,PDHK3,PDK3
ADDB_706_718,ATYPICAL,PDHK,PDHK,PDHK4,PDK4
ADDB_706_718,AGC,PDK1,NA,PDK1,PDPK1
ADDB_706_718,OTHER,PEK,GCN2,GCN2,EIF2AK4
ADDB_706_718,OTHER,PEK,HRI,HRI,EIF2AK1
ADDB_706_718,OTHER,PEK,PEK,PEK,EIF2AK3
ADDB_706_718,OTHER,PEK,PKR,PKR,EIF2AK2
ADDB_706_718,CAMK,PHK,NA,PHKG1,PHKG1
ADDB_706_718,CAMK,PHK,NA,PHKG2,PHKG2
ADDB_706_718,CAMK,PIM,NA,PIM1,PIM1
ADDB_706_718,CAMK,PIM,NA,PIM2,PIM2
ADDB_706_718,CAMK,PIM,NA,PIM3,PIM3
ADDB_706_718,OTHER,PLK,PLK1,PLK1,PLK1
ADDB_706_718,OTHER,PLK,PLK2,PLK3,PLK3
ADDB_706_718,OTHER,PLK,PLK2,PLK2,PLK2
ADDB_706_718,OTHER,PLK,SAK,PLK4,PLK4
ADDB_706_718,CAMK,RAD53,NA,CHK2,CHEK2
ADDB_706_718,AGC,RSK,MSK,MSK2,RPS6KA4
ADDB_706_718,AGC,RSK,MSK,MSK1,RPS6KA5
ADDB_706_718,AGC,RSK,P70,P70S6K,RPS6KB1
ADDB_706_718,AGC,RSK,P70,P70S6KB,RPS6KB2
ADDB_706_718,AGC,RSK,RSK,RSK3,RPS6KA1
ADDB_706_718,AGC,RSK,RSK,RSK1,RPS6KA2
ADDB_706_718,AGC,RSK,RSK,RSK2,RPS6KA3
ADDB_706_718,AGC,RSK,RSK,RSK4,RPS6KA6
ADRB2_338_350,AGC,AKT,NA,AKT1,AKT1
ADRB2_338_350,AGC,AKT,NA,AKT2,AKT2
ADRB2_338_350,AGC,AKT,NA,AKT3,AKT3
ADRB2_338_350,CAMK,CAMK1,NA,CAMK4,CAMK4
ADRB2_338_350,CAMK,CAMK1,NA,CAMK1A,CAMK1
ADRB2_338_350,CAMK,CAMK1,NA,CAMK1D,CAMK1D
ADRB2_338_350,CAMK,CAMK1,NA,CAMK1G,CAMK1G
ADRB2_338_350,CAMK,CAMK1,NA,CAMK1B,PNCK
ADRB2_338_350,CMGC,CDK,CCRK,CCRK,CCRK
ADRB2_338_350,CMGC,CDK,CDC2,CDC2,CDC2
ADRB2_338_350,CMGC,CDK,CDC2,CDK2,CDK2
ADRB2_338_350,CMGC,CDK,CDC2,CDK3,CDK3
ADRB2_338_350,CMGC,CDK,CDK10,CDK10,CDK10
ADRB2_338_350,CMGC,CDK,CDK4,CDK4,CDK4
ADRB2_338_350,CMGC,CDK,CDK4,CDK6,CDK6
ADRB2_338_350,CMGC,CDK,CDK5,CDK5,CDK5
ADRB2_338_350,CMGC,CDK,CDK7,CDK7,CDK7
ADRB2_338_350,CMGC,CDK,CDK8,CDK8,CDK8
ADRB2_338_350,CMGC,CDK,CDK8,CDK11,CDC2L6
ADRB2_338_350,CMGC,CDK,CDK9,CDK9,CDK9
ADRB2_338_350,CMGC,CDK,CRK7,CHED,CDC2L5
ADRB2_338_350,CMGC,CDK,CRK7,CRK7,CRKRS
ADRB2_338_350,CMGC,CDK,PCTAIRE,PCTAIRE1,PCTK1
ADRB2_338_350,CMGC,CDK,PCTAIRE,PCTAIRE2,PCTK2
ADRB2_338_350,CMGC,CDK,PCTAIRE,PCTAIRE3,PCTK3
ADRB2_338_350,CMGC,CDK,PFTAIRE,PFTAIRE1,PFTK1
ADRB2_338_350,CMGC,CDK,PFTAIRE,PFTAIRE2,ALS2CR7
ADRB2_338_350,CMGC,CDK,PITSLRE,PITSLRE,CDC2L2
ADRB2_338_350,CMGC,CDK,CDK11,CDK11B,CDK11B
ADRB2_338_350,AGC,DMPK,CRIK,CRIK,CIT
ADRB2_338_350,AGC,DMPK,GEK,DMPK1,DMPK
ADRB2_338_350,AGC,DMPK,GEK,MRCKA,CDC42BPA
ADRB2_338_350,AGC,DMPK,GEK,MRCKB,CDC42BPB
ADRB2_338_350,AGC,DMPK,GEK,DMPK2,CDC42BPG
ADRB2_338_350,AGC,DMPK,ROCK,ROCK1,ROCK1
ADRB2_338_350,AGC,DMPK,ROCK,ROCK2,ROCK2
ADRB2_338_350,AGC,GRK,BARK,BARK1,ADRBK1
ADRB2_338_350,AGC,GRK,BARK,BARK2,ADRBK2
ADRB2_338_350,AGC,GRK,GRK,GPRK4,GRK4
ADRB2_338_350,AGC,GRK,GRK,GPRK5,GRK5
ADRB2_338_350,AGC,GRK,GRK,GPRK6,GRK6
ADRB2_338_350,AGC,GRK,GRK,RHOK,GRK1
ADRB2_338_350,AGC,GRK,GRK,GPRK7,GRK7
ADRB2_338_350,AGC,PKA,NA,PKACA,PRKACA
ADRB2_338_350,AGC,PKA,NA,PKACB,PRKACB
ADRB2_338_350,AGC,PKA,NA,PKACG,PRKACG
ADRB2_338_350,AGC,PKA,NA,PRKX,PRKX
ADRB2_338_350,AGC,PKA,NA,PRKY,PRKY
ADRB2_338_350,AGC,PKG,NA,PKG1,PRKG1
ADRB2_338_350,AGC,PKG,NA,PKG2,PRKG2
ADRB2_338_350,CAMK,RAD53,NA,CHK2,CHEK2
ADRB2_338_350,AGC,RSK,MSK,MSK2,RPS6KA4
ADRB2_338_350,AGC,RSK,MSK,MSK1,RPS6KA5
ADRB2_338_350,AGC,RSK,P70,P70S6K,RPS6KB1
ADRB2_338_350,AGC,RSK,P70,P70S6KB,RPS6KB2
ADRB2_338_350,AGC,RSK,RSK,RSK3,RPS6KA1
ADRB2_338_350,AGC,RSK,RSK,RSK1,RPS6KA2
ADRB2_338_350,AGC,RSK,RSK,RSK2,RPS6KA3
ADRB2_338_350,AGC,RSK,RSK,RSK4,RPS6KA6
AKT1_301_313,CAMK,CAMK2,NA,CAMK2A,CAMK2A
AKT1_301_313,CAMK,CAMK2,NA,CAMK2B,CAMK2B
AKT1_301_313,CAMK,CAMK2,NA,CAMK2D,CAMK2D
AKT1_301_313,CAMK,CAMK2,NA,CAMK2G,CAMK2G
AKT1_301_313,OTHER,CAMKK,META,CAMKK2,CAMKK2
AKT1_301_313,OTHER,CAMKK,META,CAMKK1,CAMKK1
AKT1_301_313,CMGC,CDK,CCRK,CCRK,CCRK
AKT1_301_313,CMGC,CDK,CDC2,CDC2,CDC2
AKT1_301_313,CMGC,CDK,CDC2,CDK2,CDK2
AKT1_301_313,CMGC,CDK,CDC2,CDK3,CDK3
AKT1_301_313,CMGC,CDK,CDK10,CDK10,CDK10
AKT1_301_313,CMGC,CDK,CDK4,CDK4,CDK4
AKT1_301_313,CMGC,CDK,CDK4,CDK6,CDK6
AKT1_301_313,CMGC,CDK,CDK5,CDK5,CDK5
AKT1_301_313,CMGC,CDK,CDK7,CDK7,CDK7
AKT1_301_313,CMGC,CDK,CDK8,CDK8,CDK8
AKT1_301_313,CMGC,CDK,CDK8,CDK11,CDC2L6
AKT1_301_313,CMGC,CDK,CDK9,CDK9,CDK9
AKT1_301_313,CMGC,CDK,CRK7,CHED,CDC2L5
AKT1_301_313,CMGC,CDK,CRK7,CRK7,CRKRS
AKT1_301_313,CMGC,CDK,PCTAIRE,PCTAIRE1,PCTK1
AKT1_301_313,CMGC,CDK,PCTAIRE,PCTAIRE2,PCTK2
AKT1_301_313,CMGC,CDK,PCTAIRE,PCTAIRE3,PCTK3
AKT1_301_313,CMGC,CDK,PFTAIRE,PFTAIRE1,PFTK1
AKT1_301_313,CMGC,CDK,PFTAIRE,PFTAIRE2,ALS2CR7
AKT1_301_313,CMGC,CDK,PITSLRE,PITSLRE,CDC2L2
AKT1_301_313,CMGC,CDK,CDK11,CDK11B,CDK11B
AKT1_301_313,CMGC,DYRK,DYRK1,DYRK1A,DYRK1A
AKT1_301_313,CMGC,DYRK,DYRK1,DYRK1B,DYRK1B
AKT1_301_313,CMGC,DYRK,DYRK2,DYRK3,DYRK3
AKT1_301_313,CMGC,DYRK,DYRK2,DYRK2,DYRK2
AKT1_301_313,CMGC,DYRK,DYRK2,DYRK4,DYRK4
AKT1_301_313,CMGC,DYRK,HIPK,HIPK3,HIPK3
AKT1_301_313,CMGC,DYRK,HIPK,HIPK2,HIPK2
AKT1_301_313,CMGC,DYRK,HIPK,HIPK4,HIPK4
AKT1_301_313,CMGC,DYRK,HIPK,HIPK1,HIPK1
AKT1_301_313,CMGC,DYRK,PRP4,PRP4,PRPF4B
AKT1_301_313,CMGC,GSK,NA,GSK3A,GSK3A
AKT1_301_313,CMGC,GSK,NA,GSK3B,GSK3B
AKT1_301_313,OTHER,IKK,NA,IKKA,CHUK
AKT1_301_313,OTHER,IKK,NA,IKKB,IKBKB
AKT1_301_313,OTHER,IKK,NA,IKKE,IKBKE
AKT1_301_313,OTHER,IKK,NA,TBK1,TBK1
AKT1_301_313,ATYPICAL,PDHK,BCKDK,BCKDK,BCKDK
AKT1_301_313,ATYPICAL,PDHK,PDHK,PDHK1,PDK1
